Order_ID,Order_Date,Product,Category,Region,Quantity,Unit_Price,Revenue
ORD0001,2025-12-20,Mobile,Electronics,North,5,25000,125000
ORD0002,2025-03-26,Office Chair,Furniture,East,7,8000,56000
ORD0003,2025-09-04,Printer,Office,East,5,15000,75000
ORD0004,2025-02-02,Desk,Furniture,South,2,10000,20000
ORD0005,2025-07-25,Mouse,Accessories,South,6,800,4800
ORD0006,2025-06-16,Office Chair,Furniture,North,2,8000,16000
ORD0007,2025-06-20,Monitor,Electronics,North,6,12000,72000
ORD0008,2025-12-11,Office Chair,Furniture,East,7,8000,56000
ORD0009,2025-09-02,Headphones,Accessories,North,4,2000,8000
ORD0010,2025-04-02,Keyboard,Accessories,North,10,1500,15000
ORD0011,2025-10-05,Mouse,Accessories,South,9,800,7200
ORD0012,2025-09-18,Office Chair,Furniture,South,8,8000,64000
ORD0013,2025-02-20,Tablet,Electronics,South,1,18000,18000
ORD0014,2025-04-24,Mobile,Electronics,East,7,25000,175000
ORD0015,2025-01-23,Mouse,Accessories,East,8,800,6400
ORD0016,2025-04-07,Laptop,Electronics,North,5,55000,275000
ORD0017,2025-10-21,Desk,Furniture,North,3,10000,30000
ORD0018,2025-12-01,Headphones,Accessories,West,10,2000,20000
ORD0019,2025-02-27,Mouse,Accessories,South,10,800,8000
ORD0020,2025-05-28,Mobile,Electronics,South,6,25000,150000
ORD0021,2025-07-13,Mobile,Electronics,North,7,25000,175000
ORD0022,2025-09-04,Printer,Office,East,8,15000,120000
ORD0023,2025-07-27,Printer,Office,North,8,15000,120000
ORD0024,2025-03-31,Monitor,Electronics,East,3,12000,36000
ORD0025,2025-12-23,Monitor,Electronics,West,9,12000,108000
ORD0026,2025-11-29,Desk,Furniture,East,2,10000,20000
ORD0027,2025-02-24,Mouse,Accessories,East,8,800,6400
ORD0028,2025-03-13,Printer,Office,East,3,15000,45000
ORD0029,2025-06-05,Office Chair,Furniture,South,1,8000,8000
ORD0030,2025-11-09,Desk,Furniture,East,8,10000,80000
ORD0031,2025-10-19,Laptop,Electronics,East,3,55000,165000
ORD0032,2025-09-08,Monitor,Electronics,East,7,12000,84000
ORD0033,2025-07-30,Tablet,Electronics,North,8,18000,144000
ORD0034,2025-01-11,Mouse,Accessories,East,1,800,800
